X1,Brand,Name,Old.Price,New.Price,ml,Concentration,Department,Scents,Base,Middle,Item.Rating,Seller,Seller.Rating,Number.Of.Sellers.Ratings,Change.In.Price,Change.In.Price.Percentage,Rating.Numbers
122,CHOPARD,Wish,182,96,75,EDP,Women,Oriental,"Patchouli, Caramel, Amber, Sandalwood, Vanilla","Honey, Milk, Lily Of The Valley, Orchid, Violet, Jasmine, Heliotrope, Osmanthus, Magnolia",4.8,Dior Fragrances,3.9,69,86,47.25,69
123,PACO RABANNE,Olympêa,455,150,80,EDP,Women,Floral,"Sandalwood, Cashmere, Ambergris",Vanilla,4.5,Asrar Aljamal,3.8,61,305,67.03,61
124,CHOPARD,Happy Spirit,230,152.15,75,EDP,Women,Floral,"Amber, Cashmere Wood, Musk","Honeysuckle, Osmanthus",4.4,noon,4.2,98.1K,77.85,33.85,98100
125,CARTIER,Pasha de Cartier,290,185.25,100,EDT,Men,Aromatic,"Oakmoss, Sandalwood, Patchouli, Labdanum","Coriander, Brazilian Rosewood",4.3,noon,4.2,98.1K,104.75,36.12,98100
126,PACO RABANNE,Olympea,458,134,80,EDP,Women,Floral,"Cashmere, Sandalwood, Ambergris",Salted Vanilla,4,Number One,4.2,1.3K,324,70.74,1300
127,jennifer lopez,Live,161,104,100,EDP,Women,Fruity,"Tonka Bean, Sensual, Rich, Creamy Buttery Lactonic Caramel","Uity Red Currant Blossoms, Violet",5,Star.perfume,3.9,537,57,35.4,537
128,Yves Saint Laurent,Black Opium Nuit Blanche,620,266.9,90,EDP,Women,Spicy,"Vanilla Absolute, Sandalwood, White Musk","Orange Blossom Absolute, Black Opium Coffee",4.5,Al-Najm,3.7,347,353.1,56.95,347
129,LACOSTE,Eau de Lacoste L. 12.12 Noir,330,85,100,EDT,Men,Spicy,"Dark Chocolate, Cashmeran, Coumarin, Patchouli","Basil, Verbena, Lavender",4.8,Al-Najm,3.7,347,245,74.24,347
130,Calvin Klein,Euphoria Intense,440,99,100,EDT,Men,Spicy,"Cashmere Woods, Madagascar Vanilla, Burnt Amber, Australian Sandalwood","Black Basil, Sage, Cedar, Vetiver",4.2,Al-Najm,3.7,347,341,77.5,347
131,PACO RABANNE,Paco Rabanne,250,133.7,100,EDT,Men,Woody,"Tobacco, Oakmoss, Musk","Lavender, Thyme, Tarragon",4.4,AMLAQ,3.9,135,116.3,46.52,135
132,Ajmal,Sacrifice,75.9,75.9,50,EDP,Women,Floral,"Woody, Oriental, Musky","Floral, Musky",4.5,neo lek,3.5,88,0,0,88
133,BVLGARI,Petits Et Mamans,327,197.75,100,EDT,Women,Floral,"Iris, Vanilla",White Peach,4.8,Tiffany,4.2,75,129.25,39.53,75
134,Ferrari,Scuderia Black,163,98.5,125,EDT,Men,Fruity,"Cedar, Amber, Musk, Vanilla","Cardamom, Cinnamon, Rose, Jasmine",4,Beauty Gallery,3.7,59,64.5,39.57,59
135,TRUSSARDI,My Name,308,228,50,EDP,Women,Floral,"Dry Amber, Vanilla","Lilac, Musk",4.6,Beautiful Live,4.2,7,80,25.97,7
136,VERSACE,Crystal Noir,342,183.45,50,EDT,Women,Arabian,"Sandalwood, Musk, Amber","Orange Blossom, Peony, Gardenia, Coconut",3.9,noon,4.2,98.1K,158.55,46.36,98100
137,Calvin Klein,Intense Euphoria,290,109.95,100,EDT,Men,Spicy,"Labdanum, Amber, Patchouli, Agarwood, Myrrh","Black Basil, Sage, Cedar, Vetiver",4.4,noon,4.2,98.1K,180.05,62.09,98100
138,PACO RABANNE,One Million Lucky,435,257.15,100,EDT,Men,Woody,"White cedar, patchouli, amber wood, vanilla","Hazelnut, Cedar, Jasmine",4.7,noon,4.2,98.1K,177.85,40.89,98100
